"City","Population","Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson1"
"Altheimer","1,143","4","0","0","0","4","31","16","12","3","0"
"Arkadelphia","10,418","43","0","5","5","33","324","133","178","13","2"
"Arkansas City","538","1","0","0","0","1","19","8","10","1","0"
"Ashdown","4,497","20","0","0","5","15","158","21","128","9","4"
"Atkins","2,929","1","0","0","0","1","80","30","49","1","0"
"Augusta","2,355","17","0","4","1","12","98","17","81","0","0"
"Bald Knob","3,364","8","0","0","3","5","201","114","81","6","1"
"Barling","4,397","12","0","1","0","11","80","26","51","3","0"
"Bay","1,992","0","0","0","0","0","26","10","15","1","0"
"Bearden","1,019","6","0","1","1","4","42","23","17","2","0"
"Beebe","6,062","27","0","2","5","20","416","109","293","14","3"
"Benton","27,758","134","0","14","29","91","1,499","348","1,080","71","2"
"Bentonville","34,232","79","0","20","4","55","879","128","714","37","4"
"Berryville","5,195","19","0","5","1","13","235","72","156","7","0"
"Blytheville","16,161","156","5","8","42","101","1,261","372","780","109","19"
"Bono","1,557","2","0","0","0","2","42","21","21","0","0"
"Booneville","4,137","16","0","1","1","14","200","57","137","6","1"
"Brinkley","3,368","10","1","0","4","5","158","29","123","6","0"
"Bryant","14,181","40","0","6","4","30","689","100","551","38","0"
"Bull Shoals","2,124","0","0","0","0","0","25","9","15","1","0"
"Cabot","23,366","100","2","8","3","87","782","255","491","36","2"
"Caddo Valley","622","0","0","0","0","0","12","8","4","0","0"
"Camden","11,812","82","0","7","18","57","849","227","600","22","5"
"Cammack Village","766","0","0","0","0","0","24","20","3","1","0"
"Caraway","1,359","1","0","0","0","1","3","1","1","1","0"
"Carlisle","2,451","5","0","1","1","3","70","29","39","2","0"
"Cave City","2,074","5","0","1","0","4","39","10","26","3","0"
"Cave Springs","1,583","3","0","1","0","2","20","4","16","0","0"
"Centerton","7,803","4","0","0","0","4","94","27","67","0","0"
"Charleston","3,035","3","0","0","0","3","32","13","19","0","0"
"Cherokee Village","4,812","2","0","2","0","0","98","34","59","5","1"
"Clarendon","1,766","0","0","0","0","0","0","0","0","0","0"
"Clarksville","8,553","40","0","2","6","32","481","45","423","13","0"
"Clinton","2,506","1","0","0","0","1","72","7","62","3","0"
"Conway","57,245","183","1","39","64","79","2,319","465","1,681","173","6"
"Corning","3,403","10","0","5","1","4","30","13","14","3","1"
"Cotter","1,074","0","0","0","0","0","32","9","22","1","0"
"Crossett","5,623","21","0","3","4","14","266","72","187","7","3"
"Danville","2,488","5","0","3","0","2","7","3","4","0","0"
"Dardanelle","4,431","21","0","3","1","17","131","114","15","2","5"
"Decatur","1,670","2","0","0","0","2","13","6","5","2","0"
"De Queen","5,890","36","0","8","3","25","241","50","185","6","0"
