"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Abbeville","5,659","93","1","1","2","89","203","65","130","8","1"
"Aiken","29,256","159","2","13","26","118","1,284","227","987","70","1"
"Allendale","3,781","83","1","0","6","76","161","72","83","6","0"
"Anderson","26,326","280","1","15","43","221","1,652","361","1,161","130","8"
"Andrews","3,017","37","1","2","2","32","178","31","138","9","1"
"Atlantic Beach","385","23","0","2","8","13","40","14","20","6","0"
"Aynor","580","31","0","0","0","31","42","3","35","4","0"
"Bamberg","3,480","19","0","1","3","15","166","37","123","6","5"
"Barnwell","4,847","55","0","2","4","49","327","91","229","7","2"
"Batesburg-Leesville","5,620","67","0","3","3","61","323","55","239","29","1"
"Beaufort","11,960","146","0","2","35","109","852","140","669","43","1"
"Belton","4,607","16","0","0","4","12","182","26","137","19","0"
"Bennettsville","10,898","186","1","4","14","167","679","131","525","23","2"
"Bethune","367","0","0","0","0","0","5","2","2","1","0"
"Bishopville","3,945","23","0","0","5","18","288","60","213","15","1"
"Blacksburg","1,899","24","0","0","4","20","178","32","138","8","1"
"Blackville","2,888","11","0","0","3","8","57","21","36","0","0"
"Bluffton","3,791","51","0","0","10","41","348","52","279","17","4"
"Bonneau","338","2","0","0","0","2","11","1","8","2","0"
"Bowman","1,163","10","1","0","0","9","25","11","11","3","0"
"Branchville","1,037","0","0","0","0","0","0","0","0","0","0"
"Brunson","576","0","0","0","0","0","0","0","0","0","0"
"Burnettown","2,670","8","0","1","0","7","18","2","15","1","0"
"Calhoun Falls","2,231","10","0","2","1","7","82","14","68","0","0"
"Camden","7,071","89","1","4","18","66","516","168","323","25","1"
"Cameron","416","0","0","0","0","0","0","0","0","0","0"
"Campobello","584","0","0","0","0","0","0","0","0","0","0"
"Cayce","12,659","153","0","13","21","119","745","140","554","51","2"
"Central","4,147","16","0","2","3","11","150","34","110","6","0"
"Chapin","698","2","0","2","0","0","48","4","43","1","0"
"Charleston","109,382","909","15","56","269","569","4,246","746","3,056","444","11"
"Cheraw","5,417","42","0","1","9","32","398","39","346","13","2"
"Chesnee","1,057","21","0","1","4","16","75","9","62","4","0"
"Chester","6,074","97","0","1","12","84","298","92","184","22","2"
"Chesterfield","1,321","14","0","0","8","6","57","10","45","2","0"
"Clemson","12,532","30","0","8","5","17","334","91","225","18","0"
"Clinton","9,018","130","4","6","21","99","486","95","364","27","2"
"Clio","740","3","2","0","0","1","16","4","12","0","0"
"Clover","4,493","166","0","3","6","157","211","36","166","9","3"
"Columbia","120,549","1,542","16","67","345","1,114","6,963","1,267","5,066","630","24"
"Conway","14,285","219","1","7","54","157","1,412","310","1,012","90","5"
"Cottageville","699","1","0","0","0","1","25","2","18","5","0"
"Coward","674","0","0","0","0","0","7","2","3","2","0"
"Cowpens","2,364","12","0","0","3","9","114","36","70","8","0"
"Darlington","6,525","149","1","4","16","128","650","105","530","15","2"
"Denmark","3,052","23","1","1","5","16","96","32","61","3","0"
"Due West","1,286","2","0","0","0","2","16","2","13","1","0"
"Duncan","3,020","19","0","2","1","16","133","32","91","10","0"
"Easley","19,372","103","1","6","20","76","939","126","749","64","3"
"Eastover","767","3","0","0","0","3","8","5","3","0","1"
"Edgefield","4,529","16","2","0","1","13","58","11","39","8","1"
"Edisto Beach","724","1","0","0","0","1","60","12","44","4","0"
"Ehrhardt","561","1","0","0","0","1","1","0","0","1","0"
"Elgin","1,080","4","0","1","0","3","52","6","45","1","0"
"Elloree","698","1","0","0","0","1","10","0","8","2","0"
"Estill","2,381","34","0","1","4","29","133","49","70","14","0"
"Eutawville","329","4","0","0","0","4","19","3","11","5","0"
"Fairfax","3,167","22","1","4","7","10","41","17","21","3","1"
"Florence","31,377","552","5","31","117","399","2,757","586","2,000","171","30"
"Folly Beach","2,339","6","0","0","2","4","203","20","168","15","1"
