"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Adamsville","2,122","5","0","1","0","4","34","3","24","7","0"
"Alamo","2,349","9","0","0","0","9","48","11","33","4","1"
"Alcoa","8,544","107","0","7","11","89","528","96","401","31","6"
"Alexandria","870","2","0","1","0","1","16","6","9","1","0"
"Algood","3,293","20","1","1","2","16","115","9","106","0","0"
"Ardmore","1,142","9","0","0","2","7","34","4","27","3","0"
"Ashland City","4,696","11","0","1","0","10","249","51","189","9","2"
"Athens","14,183","202","2","10","29","161","1,245","280","880","85","4"
"Atoka","6,868","17","0","0","2","15","174","23","147","4","2"
"Baileyton","501","3","0","0","2","1","17","3","14","0","0"
"Baneberry","459","0","0","0","0","0","0","0","0","0","0"
"Bartlett","47,333","150","2","7","23","118","1,137","213","855","69","3"
"Baxter","1,367","2","0","0","0","2","31","6","24","1","0"
"Bean Station","3,043","20","1","3","1","15","154","46","103","5","1"
"Belle Meade","3,170","1","0","0","0","1","37","17","19","1","0"
"Bells","2,275","12","0","0","1","11","82","33","46","3","2"
"Benton","1,080","8","0","0","1","7","47","8","37","2","1"
"Berry Hill","690","10","0","0","8","2","105","16","84","5","0"
"Bethel Springs","786","1","0","0","0","1","7","3","4","0","0"
"Big Sandy","515","5","0","0","0","5","2","1","1","0","0"
"Blaine","1,751","3","0","0","1","2","36","7","24","5","0"
"Bluff City","1,629","9","0","0","1","8","59","10","46","3","0"
"Bradford","1,063","2","0","0","0","2","6","0","5","1","0"
"Brentwood","35,019","27","0","4","5","18","511","82","420","9","1"
"Brighton","2,664","16","0","0","0","16","48","13","33","2","0"
"Bristol","25,346","117","0","16","9","92","1,436","207","1,129","100","6"
"Brownsville","10,539","148","0","5","20","123","610","214","363","33","3"
"Bruceton","1,469","7","0","0","2","5","24","9","14","1","0"
"Burns","1,411","3","0","0","0","3","40","16","19","5","0"
"Calhoun","522","6","0","0","0","6","28","7","18","3","0"
"Camden","3,693","26","0","1","0","25","189","27","160","2","2"
"Carthage","2,234","18","1","0","1","16","81","19","57","5","0"
"Caryville","2,400","16","0","2","2","12","103","29","64","10","0"
"Celina","1,380","8","0","0","0","8","31","7","23","1","0"
"Centerville","4,018","5","0","1","0","4","99","34","62","3","0"
"Chapel Hill","1,285","4","0","0","0","4","27","9","18","0","0"
"Charleston","654","4","0","0","0","4","8","1","6","1","0"
"Chattanooga","155,043","2,009","11","102","524","1,372","12,484","2,384","9,072","1,028","14"
"Church Hill","6,644","14","0","0","1","13","155","44","97","14","1"
"Clarksburg","374","0","0","0","0","0","2","0","2","0","0"
"Clarksville","114,582","992","9","65","159","759","4,751","1,520","2,907","324","22"
"Cleveland","38,808","430","1","24","48","357","2,356","465","1,769","122","13"
"Clifton","2,684","7","0","0","0","7","15","8","6","1","0"
"Clinton","9,516","54","0","1","8","45","463","101","330","32","3"
"Collegedale","7,423","19","0","2","3","14","242","20","218","4","0"
"Collierville","39,569","59","0","1","12","46","821","129","654","38","4"
"Collinwood","1,038","2","0","0","0","2","12","2","9","1","2"
"Columbia","33,897","486","5","20","78","383","1,820","384","1,316","120","11"
"Cookeville","28,691","127","1","13","28","85","1,715","335","1,281","99","2"
"Coopertown","3,324","6","0","1","0","5","51","19","23","9","0"
"Copperhill","465","2","0","0","2","0","14","3","10","1","0"
"Cornersville","948","0","0","0","0","0","4","1","3","0","0"
"Covington","9,193","127","1","3","16","107","502","114","367","21","0"
"Cowan","1,758","5","0","0","0","5","42","13","24","5","1"
"Cross Plains","1,602","0","0","0","0","0","40","10","26","4","0"
"Crossville","11,111","123","0","15","11","97","940","228","656","56","6"
"Crump","1,457","22","0","0","2","20","85","30","52","3","2"
"Cumberland City","321","0","0","0","0","0","15","7","7","1","0"
"Cumberland Gap","205","0","0","0","0","0","9","1","8","0","0"
"Dandridge","2,497","13","0","1","0","12","160","8","151","1","0"
"Dayton","6,686","32","0","1","7","24","325","50","265","10","1"
"Decatur","1,468","5","0","0","2","3","64","9","53","2","0"
"Decaturville","825","0","0","0","0","0","6","5","1","0","0"
"Decherd","2,164","10","0","0","2","8","99","27","70","2","0"
"Dickson","13,171","117","1","9","19","88","791","146","554","91","2"
"Dover","1,550","2","0","0","0","2","18","2","15","1","0"
"Dresden","2,629","6","0","0","0","6","76","16","50","10","1"
"Dunlap","4,891","14","0","1","1","12","140","18","109","13","0"
"Dyer","2,422","3","1","0","0","2","29","6","20","3","1"
"Dyersburg","17,391","203","5","17","28","153","1,454","366","1,012","76","6"
"Eagleville","472","0","0","0","0","0","0","0","0","0","0"
"East Ridge","19,641","192","1","8","35","148","1,289","333","875","81","4"
"Elizabethton","13,917","78","0","5","3","70","866","169","648","49","8"
"Elkton","500","2","0","0","0","2","14","10","3","1","0"
"Englewood","1,722","15","0","0","1","14","73","11","52","10","2"
"Erin","1,453","11","0","0","1","10","45","13","26","6","0"
"Erwin","5,802","12","1","1","2","8","154","26","127","1","0"
"Estill Springs","2,285","4","0","0","0","4","38","7","26","5","0"
"Ethridge","555","2","0","0","1","1","13","2","9","2","0"
"Etowah","3,775","26","0","0","2","24","257","47","195","15","0"
"Fairview","7,712","18","0","1","1","16","160","43","104","13","0"
"Fayetteville","7,104","93","0","2","9","82","353","72","261","20","5"
"Franklin","57,489","106","2","13","18","73","1,024","125","849","50","5"
"Friendship","602","3","0","0","0","3","6","2","2","2","0"
"Gadsden","547","2","0","0","0","2","6","0","6","0","0"
"Gainesboro","845","1","0","0","0","1","41","5","33","3","1"
"Gallatin","28,419","104","1","5","13","85","576","79","471","26","3"
"Gallaway","715","13","0","0","1","12","31","5","21","5","0"
"Gates","852","2","0","0","0","2","10","6","4","0","0"
"Gatlinburg","5,165","25","0","3","2","20","451","176","258","17","4"
"Gibson","406","4","0","0","0","4","16","1","12","3","0"
"Gleason","1,402","11","0","0","0","11","33","12","20","1","0"
"Goodlettsville","15,854","124","1","5","36","82","962","145","741","76","1"
"Gordonsville","1,320","10","0","1","0","9","33","5","28","0","0"
